标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
此房为动迁满五年，居家装修，诚意出售，三轨交通,金杨新村四街坊 ,2室1厅,75.65平米,南,7,1994,金杨,630,83279
世博电梯3房2011年+附10㎡+精装修+总价很低+看房随时,逸翠公馆 ,3室1厅,86.45平米,东南,24,2011,世博,720,83286
"精装双南两房,得房率高,诚意出售!!!",栖山路1689弄 ,2室1厅,78.44平米,南,6,1994,金杨,739,94213
临沂大楼，近地铁，配套设施齐全,临沂大楼 ,2室1厅,88.27平米,南,25,1992,南码头,620,70240
前滩+CBD+飞机户型+业主诚意出售,恒大华城新华苑 ,3室2厅,87.74平米,南,6,1998,杨思前滩,690,78642
金桥新村四街坊一手动迁大两房楼层号位置佳,金桥新村四街坊 ,2室1厅,70.22平米,南,6,1998,金桥,585,83310
三房朝南，新装修保养好，户型方正，诚意出售,香楠小区 ,3室1厅,85.48平米,南,6,1995,张江,570,66683
正气三房 附大花园 花园位置 不靠路 视野开阔近地铁,金桥湾清水苑 ,3室1厅,83.49平米,南,6,1998,金桥,650,77854
三林板块+品质小区+满五+精装大三房,保利林语溪(公寓) ,3室2厅,89.09平米,南 北,18,2011,三林,730,81940
崮山新出来好房+地铁6号线和9号线+动迁房好楼层+未用,崮山小区一街坊 ,2室1厅,73.06平米,南,6,2001,洋泾,785,107446
三林前滩板块，自住装修，满五年税费少，另有车位出售,保利林语溪(公寓) ,2室2厅,89.79平米,南,18,2011,三林,675,75176
稀有户型+近di铁+小三房+满五,临沂七村 ,3室1厅,78.11平米,南,6,1990,南码头,515,65933
陆家嘴电梯两房，楼层适中，朝南带阳台,陈家宅小区(潍坊西路) ,2室1厅,73.42平米,南,18,未知,陆家嘴,638,86898
近地铁 三轨相交 采光nice自住精装修 全明户型格局好,金杨新村四街坊 ,3室1厅,88.52平米,南,7,1994,金杨,700,79079
金色中环，精装，独立门户，门口可停车，带花园位置好,新里城和合苑 ,2室2厅,81.63平米,南,6,1999,杨思前滩,788,96534
三林板块+南北版式+附12平+精装修,绿地香颂(浦东)(公寓) ,3室2厅,88.75平米,南,18,2011,三林,666,75043
张江南康桥+18号线+近万达+南北通+精装修,美林小城 ,2室2厅,84.25平米,南 北,6,2006,康桥,508,60297
印象春城 2室2厅 南,印象春城 ,2室2厅,88.1平米,南,18,2011,周浦,570,64700
一手动迁+南北通+看房方便+近地铁+业主诚意+满五年,川杨新苑(四期) ,2室1厅,88.02平米,南,6,2010,张江,502,57033
中环内，精装修，税费少，业主诚意出售，中间位置。,香楠小区 ,3室1厅,84.25平米,南,6,1995,张江,565,67063
此房满五、税费少、中间楼层、全天采光无遮挡,朱家门小区 ,2室2厅,83.07平米,南 北,6,1993,金桥,530,63802
杨思前滩+CBD版块+6.8.11三轨交通+全明户型+采光好,恒大华城新华苑 ,2室2厅,70.59平米,南,6,1998,杨思前滩,560,79332
此房满五V1，精装修，户型方正，不靠路,三林世博家园(板泉路2000弄) ,2室1厅,73.19平米,南,6,2006,杨思前滩,508,69409
一手动迁+满五+拎包入住+交通方便,香楠小区 ,2室1厅,74.76平米,南,6,1995,张江,545,72900
金色中环 杨思前滩 有明珠一朵 五年尘尽光生 壕装全在,新里城和合苑 ,2室2厅,74.92平米,南,6,1999,杨思前滩,719,96090
张江南18号线地铁精装南北通2房万达商圈,美林小城 ,2室2厅,80.67平米,南,6,2005,康桥,520,64461
一手动迁 税费少 双南两房 位置好,金桥新村四街坊 ,3室1厅,75.3平米,南,6,1997,金桥,625,83002
中间楼层，全明户型 一南一北 满五年 税费少 诚意出售,由由一村 ,2室2厅,78.84平米,南,5,1997,北蔡,575,72933
房改售房 税少 中楼层 诚意出售 看房提前约,凌兆新村(上浦路505弄) ,3室1厅,81.83平米,南 北,6,1995,三林,565,69046
一手动迁税费少+近地铁2号线+业主诚意售,兰沁苑 ,1室1厅,72.58平米,南,6,2003,张江,510,70268
陆家嘴地段+近浦电路地铁站+动迁房满五+精装修,潍坊九村 ,3室0厅,73.33平米,南,6,1986,潍坊,760,103642
小区中间位置，中间楼层，满五，税少，诚意售房,市政大楼 ,2室1厅,72.65平米,南,18,1992,梅园,800,110117
北蔡板块+地铁18/13号线+龙阳CBD+全明户型,虹南小区(浦东) ,2室1厅,77.33平米,南,5,1989,北蔡,510,65952
花木、北蔡版块+地铁2/7/18/16+龙阳CBD 看房方便,培花七村 ,3室1厅,83.95平米,南,7,1995,北蔡,530,63133
中环小区C位，满五V一，税费少，南北通，地铁480米,绿川家园 ,2室1厅,87.52平米,南,6,2002,北蔡,630,71984
保利在造，品质三房，两房朝南，看房方便,保利铃兰公馆 ,3室2厅,89.95平米,南 北,8,未知,临港新城,500,55587
房东急卖 11年次新房 附10平方，世博后滩  急卖,逸翠公馆 ,2室2厅,86.45平米,东南,24,2011,世博,730,84442
香山新村东南街坊 3室1厅 南,香山新村东南街坊 ,3室1厅,76.08平米,南,6,1995,金杨,550,72293
电梯房+6/9/14号线三轨交汇+配套成熟+税费少,香山新村东南街坊 ,2室1厅,79.07平米,南,24,1996,金杨,500,63236
满五V一 近地铁 双南卧室 全明户型,高科西路2847弄 ,2室1厅,83.86平米,南,6,1994,北蔡,500,59624
位置好不靠路，中间楼层，户型很好，诚意卖,保利金爵公寓 ,2室2厅,87.46平米,南,14,2009,唐镇,630,72033
地铁6+9+14+看房方便+产权清晰+户口可签+业主诚意出售,金杨六街坊 ,2室1厅,83.33平米,南,6,1994,金杨,710,85204
房子满五年，自住装修，随时可看房，得房率高,保利金爵公寓 ,2室2厅,84.85平米,南,14,2009,唐镇,645,76017
（双轨房）前景60亿嘉里城，东方医院，满五V1，精装修,伟业金锦苑二村 ,2室2厅,78.46平米,南,6,2003,金桥,595,75835
北蔡/花木+地铁2/7/16/18号线/磁悬浮+龙阳CBD+满五V一,芳华路580弄 ,3室1厅,89.92平米,南 北,6,1995,北蔡,600,66726
一手动迁税费少，户型方正，明厨明卫，业主诚意出售！,金杨新村四街坊 ,3室1厅,88.52平米,南,7,1994,金杨,790,89246
花木+北蔡版块+地铁2/7/18/16+龙阳CBD+小区位置好,芳华路713弄 ,3室1厅,86.22平米,南,6,1995,北蔡,530,61471
三房户型，售后公房税费少，业主诚意出售，看房方便,陈家门小区 ,3室1厅,75.13平米,南,6,1988,梅园,799,106349
此房满五税少，小区中间位置，非底楼层，楼层位置佳,芳华路713弄 ,3室1厅,86.22平米,南,6,1995,北蔡,530,61471
满五年+单价低+精装修+陆家嘴旁+户型方正+交通便利,开发浦东 ,2室1厅,79平米,南,25,1991,潍坊,710,89874
位置好、中间楼层，双南全明户型，业主诚意出售,羽北小区 ,2室1厅,72.24平米,南,6,1998,洋泾,798,110466
此房满五税费低，业主诚意出售，产权清晰看房方便。,春港丽园(公寓) ,2室2厅,88.29平米,南,6,2000,张江,529,59917
9/14号线+精装+非顶楼+满五+南北通+采光好,金杨六街坊 ,3室1厅,83.08平米,南,6,1995,金杨,690,83053
一梯四户 边套两房，一手动迁 满五*税费少,东陆新村五街坊 ,2室2厅,77.85平米,南 北,6,2003,金桥,600,77072
三林板块+11号线地铁口+税费低+业主诚意出售,翠竹苑 ,3室1厅,82.1平米,南,6,1997,三林,520,63338
满五无个税，格局好，中间楼层，不靠路，地铁站300米,金桥新村四街坊 ,3室1厅,75.19平米,南,6,1997,金桥,610,81128
羽北小区 2室1厅 南,羽北小区 ,2室1厅,79.28平米,南,7,1997,洋泾,800,100909
18号线 近地铁 一手动迁  得房率高 南北通采光好,美林小城 ,2室2厅,84.49平米,南,6,2006,康桥,515,60954
此房全明户型，采光通风好，业主诚意出售,香山新村东南街坊 ,3室1厅,75.7平米,南,6,1995,金杨,510,67372
杨思前滩CBD+全明户型+交通便利+税费少+诚意出售,源城锦翠苑 ,2室1厅,73.21平米,北 南,6,2005,杨思前滩,670,91518
杨思前滩+近杨思站+户型方正+满五*,杨新路198弄 ,3室1厅,88.36平米,南 北,7,1994,杨思前滩,545,61680
满五V1+双南全明厨卫+景观楼层+成熟商场地铁,金旋小区 ,2室1厅,74.38平米,南,6,1995,北蔡,535,71928
近地铁 户型房子 小区环境好满五,绿地康桥新苑 ,2室2厅,89.56平米,南,14,2004,康桥,540,60295
一房朝东南 一房朝东 中间楼层 采光好 户型通透,茂兴大厦 ,2室1厅,81.69平米,西南 南,24,1995,塘桥,590,72225
满五 边套全明 中间楼层 业主诚意出售,金樟花苑 ,2室1厅,70.83平米,南,6,1997,金杨,634,89511
空间有局有致，格局方正，全明通透，清新空气自由川行,绿川新苑 ,2室1厅,82平米,南 北,6,2000,北蔡,512,62440
3房朝南，买进价高，中间位置，中间楼层，可看可谈！,金桥新村四街坊 ,3室1厅,84.71平米,南,6,1997,金桥,657,77559
一手动迁，户型正气，低总价，诚意出售，价格可谈,金台三居 ,3室1厅,78.16平米,南,6,1994,金杨,500,63972
售后公房无增值税+非顶楼+通风好+小区环境优美,紫翠高清苑 ,2室1厅,81.1平米,南,6,2011,北蔡,525,64735
税费少 花园房 有车位 精装修,美林小城 ,2室2厅,84.49平米,南 北,6,2006,康桥,510,60363
南北精装两房 店长推荐 看房方便 诚意出售,巨野公寓 ,2室1厅,75.99平米,南 北,6,1998,梅园,598,78695
前滩板块+小三房+边套户型+中间楼层+一手动迁满五年,凌兆新村(凌兆路256弄) ,3室2厅,78.42平米,南,6,1996,三林,509,64907
此房双南两房，主卧带阳台，视野宽阔，通风好采光佳,沪南船舶小区 ,2室1厅,78.11平米,南,6,1994,金桥,520,66573
双轨地铁+南北直通两房+满五税费少中间位置，得房率高,伟业金锦苑二村 ,2室2厅,78.64平米,南 北,6,2003,金桥,595,75662
此房满五*，户型方正，交通便利，生活配套设施齐全,泾东小区 ,3室1厅,87.03平米,东,25,1990,洋泾,720,82731
前滩辐射+三林板块+三轨交汇+户型方正+一梯三户,凌兆新村(凌兆路285弄) ,3室1厅,85.37平米,南,6,1996,三林,556,65129
蓝村路地铁口+大二房+边套全明+售后公房+看房随时,文兰小区 ,2室1厅,71.11平米,东 南,6,1992,塘桥,553,77767
福利分房，满五*，户型正气，采光通透性好,金杨新村九街坊 ,3室1厅,76.57平米,南,5,1993,金杨,510,66606
前滩旁＋地铁口，税费少。户型正，得房率高，花园位置,三林新村(永泰路468弄) ,2室2厅,83.93平米,南,18,2009,三林,535,63744
满五，中间位置，正气3房，一梯两户，价格可谈急售。,金桥新村四街坊 ,3室1厅,75.19平米,南,6,1997,金桥,578,76872
内环电梯高区两房+视野开阔+随时看房+诚意出售,海运新村 ,2室0厅,76.04平米,南,18,1990,塘桥,570,74961
陆家嘴北滨江 260米步行滨江带 可以看黄浦江 满五年,环球广场 ,1室1厅,71.39平米,北,33,1996,梅园,575,80544
精装修一梯两户中间楼层小区中间位置近地铁6号线,东荷小区 ,2室1厅,75平米,南,6,1997,金桥,500,66667
业主诚心、看房方便，产权清晰，采光充足,春港丽园(公寓) ,2室2厅,88.29平米,南,6,2000,张江,568,64334
三林板块+满五年+精装修三房+11号线地铁口+可以签字,翠竹苑 ,3室2厅,78平米,南 北,6,1997,三林,515,66026
一梯两户商品房小区+南北方正户型+前后无遮挡采光好,金杨路750弄 ,2室1厅,83.5平米,南,6,1996,金杨,540,64671
电梯房高楼层双南两居室，视野开阔无遮挡,临沂大楼 ,2室1厅,74.32平米,南,25,1992,南码头,525,70641
业主诚意出售 小区花园位置 采光好,金桥新村四街坊 ,2室1厅,74.22平米,南,6,1997,金桥,610,82189
2010年商品房，精装，满五v一，中高楼层，诚心出售,铂庭俱进家园 ,2室2厅,88.53平米,南 北,20,2010,高行,600,67774
丽都成品：看看总价满五唯还找啥呢来看房吧,丽都成品 ,2室1厅,83.89平米,南,18,2005,金桥,655,78079
售后公房，精装修，三房，采光好，小区后排,海院小区 ,3室1厅,86.95平米,南,6,1988,梅园,720,82807
满五年 精装修 真正给你家的温馨,云莲苑 ,3室1厅,82.34平米,南 北,7,1998,世博,585,71047
三林前滩+满五V壹+上下楼方便+随时看房+带露台,翠竹苑 ,3室1厅,84.64平米,南,6,1997,三林,520,61437
精装+三房+非顶楼+边套全明+户型方正+看房方便,潍坊十村 ,3室1厅,75.73平米,南 北,6,1985,潍坊,770,101678
金色中环带+杨思前滩+非顶楼+满五无个税+诚意出售,三林世博家园(板泉路2101弄) ,2室1厅,77.01平米,南,6,2006,杨思前滩,508,65966
地铁三轨交通 6/14/18  二房朝南  滨江大道 双阳台,凌高小区 ,2室1厅,86.22平米,南,24,1995,洋泾,555,64371
近地铁+近滨江大道+配套齐全+诚意出售,茂兴大厦 ,2室1厅,77.76平米,东南,24,1995,塘桥,530,68159
此房动迁VE、税费少、中间楼层、全天采光无遮挡,朱家门小区 ,3室1厅,89.71平米,南 北,18,1996,金桥,520,57965
金色中环发展带＋婚房装修＋非一楼＋店长推荐＋近地铁,三林世博家园(大道站路94弄) ,2室2厅,86.7平米,南 北,6,2006,杨思前滩,525,60554
一手动迁+拎包入住+户型方正+税费少,香楠小区 ,2室1厅,74.67平米,南,6,1995,张江,530,70979
近森兰，精装30万，中间楼层，采光足，房东诚意,浦江东旭公寓(669弄1-109号) ,2室2厅,78.78平米,南,7,2006,高行,500,63468
精装小三居+买入价高+位置好=店长推荐,香楠小区 ,3室1厅,73.13平米,南 北,6,1995,张江,525,71790
高区视野开阔，全南两房，户型明亮，统一精装,浦发罗兰翡丽 ,2室2厅,79.97平米,南,18,未知,唐镇,755,94411
双南户型 采光充足 陆家嘴北滨江 260米步行滨江带,环球广场 ,2室1厅,85.25平米,南,33,1996,梅园,730,85631
临港保利蔚蓝林语带车位，精装修，带花园，业主急售,保利蔚蓝林语 ,2室2厅,89.2平米,南 北,14,2015,临港新城,510,57175
金桥新村四街坊一手动迁三房楼层好位置佳,金桥新村四街坊 ,3室1厅,75.19平米,南,6,1997,金桥,600,79798
小区中间位置，楼层好全明户型，房东诚意出售满五年,东方城市绿洲 ,2室2厅,89.51平米,南,11,2010,川沙,535,59770
已核验备案+主卧八角窗+税费少+视野无遮挡+近地铁,绿地康桥新苑 ,2室2厅,88.06平米,南 北,6,2004,康桥,520,59051
住宅产权 ，高楼层，采光视野好,久阳滨江公寓 ,1室1厅,70.32平米,南,25,2006,陆家嘴,675,95990
此房为售后公房，一层两户，居住人群多邻居，配套全面,苗圃路138弄 ,2室1厅,84.93平米,南,6,1996,洋泾,590,69469
房子是满五年的，税费少，精装修，可拎包入住，近地铁,明丰佳园 ,2室2厅,82.5平米,南,6,1997,南码头,649,78667
朝南边套安静，高区视野开阔，观陆家嘴三件套，税费少,久阳滨江公寓 ,1室1厅,71.15平米,南 北,25,2006,陆家嘴,680,95573
北蔡、花木地铁2/7/18/16/磁悬浮、满五年V一、南北通,环龙公寓 ,2室2厅,89.25平米,南 北,6,2002,北蔡,700,78432
瑞苑公寓，楼层好，1室1厅，北,瑞苑公寓 ,1室1厅,81.39平米,北,40,2001,梅园,740,90921
产权清晰，业主随时签字，大两房中高层，诚售,崮山小区一街坊 ,2室1厅,73.06平米,南,6,2001,洋泾,760,104025
6+9+14号线，地铁三轨，满五年，业主就这一套房,金杨六街坊 ,3室1厅,83平米,南 北,6,1994,金杨,690,83133
南北通透格局，无遮挡采光好，户型方正，精装保养好。,保利铃兰公馆 ,3室2厅,89.95平米,南 北,8,2018,临港新城,515,57255
店长推荐好房，高区2房可俯瞰星空之境全景 有钥匙看房,陆家嘴滴水涟岸 ,2室2厅,88.55平米,南,14,2020,临港新城,570,64393
金色中环：新杨思、无个税、位置安静、带花园,新里城和合苑 ,2室1厅,79.5平米,南,6,1999,杨思前滩,740,93082
三林板块+6/8/11三轨交汇+配套好+前滩,凌兆新村(上浦路510弄) ,3室1厅,77.01平米,南 北,6,1994,三林,515,66875
总价低+精装2房+次新小区+诚意出售,浦发罗兰翡丽 ,2室2厅,76平米,东 南 北,14,未知,唐镇,680,89474
三林前滩+满五+11/6双轨交+06年次新小区+无增值税个税,金橘新苑（北区） ,2室1厅,84.89平米,南,18,2006,三林,750,88350
原始动迁  税费少 次新品质小区 诚意出售,绿地景汇佳苑 ,2室1厅,81.52平米,南,21,2014,周浦,550,67469
金色中环+附带阁楼+不靠路+税费少+停车方便+诚意出售,三林世博家园(大道站路94弄) ,2室2厅,83.75平米,南 北,6,2006,杨思前滩,520,62090
三林杨思前滩北蔡+ 满五wei一+电梯房,三林世博家园(板泉路2101弄) ,2室1厅,74.44平米,南,11,2006,杨思前滩,508,68243
全明户型，电梯房，楼层适中，采光好，视野佳。,东园三村 ,2室1厅,79.23平米,南,26,未知,陆家嘴,780,98448
此房满五年，售后公房，税费少，可自装设计,海运新村 ,2室1厅,80.54平米,东南,18,1990,塘桥,515,63944
杨思前滩+南北户型+配套齐全+交通便利,东方悦居 ,2室1厅,71.77平米,南,6,2008,杨思前滩,596,83044
电梯房+6/9/14号线三轨交汇+配套成熟+满五年,香山新村东南街坊 ,2室1厅,79.07平米,南,24,1996,金杨,500,63236
清水苑二期正气三房，满五年无个税，采光好，不靠路,金桥湾清水苑 ,3室1厅,81.37平米,南,6,1998,金桥,676,83078
三林前滩+电梯房+地铁6/11号线,金橘新苑（北区） ,2室1厅,85.11平米,南,16,2006,三林,685,80485
三林板块，满五唯 一无 杂费，好位置，边套通透户型,永泰花苑 ,2室1厅,79.35平米,南 北,11,2004,三林,530,66793
南北通透格局好，三轨交汇交通便利，诚心售卖。,洋泾花园城 ,2室1厅,79.32平米,南 北,6,1998,洋泾,713,89890
此房满五年，户型好双朝南，采光充足视野好，诚意出售,金樟花苑 ,2室1厅,79.29平米,南,6,1994,金杨,682,86014
金色中环+近前滩+无增值税+健身楼层+采光好,香樟苑(浦东) ,3室1厅,80.08平米,南,6,1998,杨思前滩,526,65685
非顶楼，一梯两户，婚房装修，满五税少，位置安静,香山新村西北街坊 ,2室2厅,84.55平米,南,6,1996,金杨,580,68599
商品房，中间楼层，南北户型，满五v1税少,金桥湾清水苑 ,2室1厅,70.35平米,南,6,1998,金桥,550,78181
九号线金桥站，一手动迁，中间楼层,永业小区 ,3室1厅,86.21平米,南,6,1995,金桥,530,61478
⭐⭐⭐一梯两户、双南户型、中间楼层、售后公房,金杨新村四街坊 ,2室1厅,75.65平米,南 北,7,1995,金杨,670,88566
张江南 三轨交汇 高层景观房 满五年weiyi 无遮挡,印象春城 ,2室1厅,87.9平米,南,18,2009,周浦,550,62572
三林前滩杨思板块+南北通+满五v一+户型方正+楼层好,新里城和合苑 ,2室2厅,78.68平米,南,6,1999,杨思前滩,738,93798
景观楼层，不靠路，单价低，边套大三房，业主诚意出售,金桥新村四街坊 ,3室1厅,85.01平米,南,6,1997,金桥,560,65875
两房朝南户型正气，全明户型，楼层位置佳，采光充足。,东陆新村六街坊 ,3室1厅,83.9平米,南,6,1995,金桥,510,60787
花木北蔡 地铁13/18线双轨交汇，龙阳CBD 满五年南北通,加东花园 ,2室2厅,72.51平米,南,6,1997,北蔡,520,71715
三林板块+绿地品质2011年次新电梯房+人车分流,绿地香颂(浦东)(公寓) ,2室2厅,87.84平米,南,18,2011,三林,640,72860
三林板块+绿地品质+人车分流+全南户型+得房率高,绿地香颂(浦东)(公寓) ,3室1厅,87.84平米,南,18,2011,三林,670,76276
售后公房 税费少 户型好 近地铁 诚意出售,南新公寓 ,2室2厅,85.27平米,南 北,6,1997,北蔡,510,59811
交通便利，电梯房，高楼层，穿堂风很清爽，高品质。,绿地康桥新苑 ,2室2厅,87.31平米,南 北,14,2005,康桥,550,62994
三林板块+保利品质+精装修+满五+2011年商品房,保利林语溪(公寓) ,2室2厅,88.12平米,南,18,2011,三林,700,79438
无增值税的大两房，此房得房率高。,高行家园 ,2室2厅,81.91平米,南 北,6,2009,高行,538,65682
一手动迁，税费低，带大天井，西边套采光好,金桥新村四街坊 ,3室1厅,81.58平米,南,6,1997,金桥,675,82741
